0,24.66291
10,24.76803
20,24.75033
30,24.75031
40,24.54499
50,24.50433
60,25.08055
70,24.54014
80,24.76798
90,24.83863
100,24.82083
110,24.75035
120,24.65662
130,24.87375
140,24.82089
150,24.83871
160,24.38169
170,24.75053
180,24.71519
190,24.69748
200,24.80322
210,24.8738
220,24.7327
230,24.67993
240,25.18612
250,25.05039
260,24.76797
270,24.99198
280,24.85614
290,24.81526
300,24.53926
310,24.80318
320,24.73274
330,24.55698
340,24.67998
350,25.42768
360,17.19251
0,23.29456
10,23.24215
20,22.55085
30,22.15107
40,21.39393
50,21.00746
60,20.06907
70,20.01723
80,19.71257
90,19.57467
100,20.51775
110,20.48319
120,20.31058
130,20.25878
140,20.06898
150,20.12076
160,19.74707
170,21.15731
180,20.98434
190,20.86905
200,20.7596
210,20.39689
220,20.41417
230,20.15525
240,20.08623
250,19.99998
260,19.8563
270,19.82177
280,19.62065
290,19.48278
300,19.17036
310,19.09685
320,18.97285
330,18.8764
340,18.99124
350,18.76621
360,18.5975
370,18.59406
380,18.49074
390,18.3117
400,18.24285
410,18.17399
420,18.10511
430,17.88707
440,18.05347
450,18.23251
460,19.74707
470,19.82751
480,19.43682
490,19.14282
500,19.01419
510,18.93152
520,19.00961
530,18.89019
540,18.75243
550,18.65604
560,18.64228
570,18.54929
580,18.06034
590,18.17399
600,18.0879
