0,22.55081
10,22.23209
20,20.67316
30,20.41412
40,20.50046
50,21.74036
60,23.01532
70,23.97693
80,22.55081
90,22.66684
100,21.53815
110,20.93243
120,20.24152
130,21.36496
140,20.84598
150,20.67316
160,20.50046
170,20.41412
180,20.84598
190,19.89648
200,20.06897
210,20.06897
220,19.78152
230,19.89648
240,19.78152
250,19.32193
260,19.06931
270,19.89648
280,19.20709
290,19.06931
300,18.93152
310,19.0004
320,19.20709
330,18.86261
340,19.0004
350,18.79376
360,18.43219
370,18.93152
380,18.86261
390,18.79376
400,18.65604
410,18.65604
420,18.72488
430,18.58716
440,18.65604
450,18.43219
460,18.79376
470,18.51831
480,18.72488
490,18.86261
500,18.43219
510,18.34613
520,18.51831
530,18.72488
540,18.58716
550,18.58716
560,18.86261
570,18.34613
580,18.58716
590,18.34613
600,18.26004
